City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,-3.07,87,100,0.0,US,1697128471
1,west island,-12.1568,96.8225,25.99,78,100,7.72,CC,1697128597
2,east london,-33.0153,27.9116,16.52,82,20,4.63,ZA,1697128524
3,ust-nera,64.5667,143.2,-12.1,97,92,2.24,RU,1697128598
4,pionerskiy,54.9508,20.2275,14.52,65,3,13.38,RU,1697128598
5,blackmans bay,-43.0167,147.3167,9.18,85,99,0.45,AU,1697128598
6,punta arenas,-53.15,-70.9167,11.06,62,40,12.35,CL,1697128599
7,isafjordur,66.0755,-23.124,2.02,87,100,14.92,IS,1697128599
8,bikenibeu village,1.3673,173.1241,26.98,89,20,0.0,KI,1697128599
9,keflavik,64.0049,-22.5624,4.95,75,100,13.38,IS,1697128599
10,mulayjah,27.271,48.4242,29.7,46,0,3.72,SA,1697128600
11,papatowai,-46.5619,169.4708,11.97,60,98,3.72,NZ,1697128600
12,coquimbo,-29.9533,-71.3436,16.85,63,0,6.69,CL,1697128600
13,avarua,-21.2078,-159.775,20.03,100,100,1.54,CK,1697128600
14,invercargill,-46.4,168.35,12.23,65,100,2.68,NZ,1697128601
15,sur,22.5667,59.5289,30.16,56,0,2.31,OM,1697128601
16,necochea,-38.5473,-58.7368,13.32,45,0,3.2,AR,1697128601
17,anadyr,64.75,177.4833,4.28,100,75,9.0,RU,1697128601
18,atafu village,-8.5421,-172.5159,28.71,76,14,6.13,TK,1697128602
19,makurazaki,31.2667,130.3167,18.5,68,1,3.66,JP,1697128602
20,katabu,-4.9333,122.5167,23.33,93,85,1.66,ID,1697128602
21,saurimo,-9.6608,20.3916,25.06,58,92,1.52,AO,1697128316
22,ghanzi,-21.5667,21.7833,28.51,31,82,5.06,BW,1697128603
23,ende,-8.8432,121.6623,24.83,77,84,0.96,ID,1697128603
24,tura,25.5198,90.2201,22.08,83,1,1.22,IN,1697128603
25,olonkinbyen,70.9221,-8.7187,1.02,74,97,8.56,SJ,1697128603
26,tiksi,71.6872,128.8694,-5.52,91,100,4.54,RU,1697128604
27,fortuna,40.5982,-124.1573,10.55,97,100,4.12,US,1697128604
28,codrington,-38.2667,141.9667,11.81,78,100,7.32,AU,1697128604
29,okhotsk,59.3833,143.3,-0.49,57,30,2.58,RU,1697128604
30,singaraja,-8.112,115.0882,25.67,82,91,1.59,ID,1697128605
31,puerto deseado,-47.7503,-65.8938,10.68,46,10,6.93,AR,1697128605
32,chandler,33.3062,-111.8412,27.6,35,0,2.06,US,1697128605
33,aranyaprathet,13.6928,102.5013,24.82,92,89,1.21,TH,1697128605
34,adamstown,-25.066,-130.1015,20.38,74,93,4.91,PN,1697128606
35,klyuchi,52.2667,79.1667,6.37,86,100,1.34,RU,1697128606
36,egilsstadir,65.2653,-14.3948,2.95,87,75,9.26,IS,1697128606
37,pula,44.8683,13.8481,20.31,83,20,1.54,HR,1697128606
38,iqaluit,63.7506,-68.5145,-0.15,86,75,1.54,CA,1697128607
39,talnakh,69.4865,88.3972,-1.55,94,100,1.49,RU,1697128607
40,waitangi,-43.9535,-176.5597,8.23,79,99,0.89,NZ,1697128607
41,kimbe,-5.5502,150.1429,24.77,92,67,1.36,PG,1697128607
42,neiafu,-18.65,-173.9833,23.38,83,20,0.0,TO,1697128608
43,vadso,70.0744,29.7487,3.49,93,20,10.8,NO,1697128608
44,maun,-19.9833,23.4167,33.42,18,56,3.05,BW,1697128608
45,thompson,55.7435,-97.8558,6.09,93,75,1.03,CA,1697128511
46,chifeng,42.2683,118.9636,10.87,81,2,2.56,CN,1697128609
47,kavieng,-2.5744,150.7967,27.4,77,74,0.85,PG,1697128609
48,puerto ayora,-0.7393,-90.3518,27.98,73,74,4.37,EC,1697128610
49,lompoc,34.6391,-120.4579,21.08,65,0,3.6,US,1697128610
50,pasighat,28.0667,95.3333,22.43,86,4,1.74,IN,1697128610
